operation,n,min_gas,mean_gas,max_gas,sd_gas,ci95_gas,mean_eth,mean_usd
contractDeployment,1,1186625,1186625,1186625,0.0237325,71.1975
addDelegate,5,72202,72212,72214,5.4,6.7,0.00144424,4.33272
revokeDelegate,5,37669,37679,37681,5.4,6.7,0.00075358,2.26074
setAttributeShort,5,34742,34752,34754,5.4,6.7,0.00069504,2.08512
setAttributeCidLength,5,34934,34944,34946,5.4,6.7,0.00069888,2.0966400000000003
revokeAttribute,5,34648,34658,34660,5.4,6.7,0.00069316,2.0794799999999998
changeOwner,5,51753,51763,51765,5.4,6.7,0.00103526,3.10578
setGuardians,5,143520,143520,143520,0,0,0.0028704,8.6112
approveRecoveryNonExecuting,5,76480,76480,76480,0,0,0.0015296,4.5888
approveRecoveryExecuting,5,102737,102737,102737,0,0,0.00205474,6.16422
